Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2,DesignLatency_Msec,BRAM_Utilization,DSP_Utilization,FF_Utilization,LUT_Utilization
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=512 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=4 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=32,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=8 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=16,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.0179520299999999,0,0,2,7
#pragma HLS array_partition variable=strel cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=32 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=4 dim=1,#pragma HLS array_partition variable=result_inner_0 cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=32,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=512 dim=1,#pragma HLS array_partition variable=result_inner_0 cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_inner_0 block factor=64 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS unroll factor=2,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.41587704,5,0,1,5
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=64 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=4 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 block factor=64 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.35961336,8,0,2,5
#pragma HLS array_partition variable=strel cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 block factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.41587704,5,0,1,5
#pragma HLS array_partition variable=strel complete dim=1,#pragma HLS array_partition variable=img_sample complete dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=128 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=512 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01085247,0,0,4,10
#pragma HLS array_partition variable=strel cyclic factor=4 dim=1,#pragma HLS array_partition variable=img_sample block factor=4 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=32 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=8 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner_0 cyclic factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=64 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.02935728,0,0,2,6
#pragma HLS array_partition variable=strel complete dim=1,#pragma HLS array_partition variable=img_sample complete dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=8 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=512 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=32,#pragma HLS unroll factor=64,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,#pragma HLS unroll factor=16,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01788543,0,0,2,7
#pragma HLS array_partition variable=strel complete dim=1,#pragma HLS array_partition variable=img_sample complete dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=256 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 block factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=32,#pragma HLS pipeline,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01787211,0,0,2,7
#pragma HLS array_partition variable=strel complete dim=1,#pragma HLS array_partition variable=img_sample complete dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=32 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=32 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=2 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=64 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=32,#pragma HLS unroll factor=64,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS unroll factor=8,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=8 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=512 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=4 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS pipeline,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=32,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=32 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=256 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=4 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll factor=4,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample complete dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=32 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=4 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=4 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=512 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01524141,0,0,3,12
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample block factor=4 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=8 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=512 dim=1,#pragma HLS array_partition variable=result_inner_0 block factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01707291,0,0,2,8
#pragma HLS array_partition variable=strel cyclic factor=4 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_inner_col cyclic factor=128 dim=1,#pragma HLS array_partition variable=result_inner_0 cyclic factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=32 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=2,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01707291,0,0,2,8
#pragma HLS array_partition variable=strel cyclic factor=2 dim=1,#pragma HLS array_partition variable=img_sample cyclic factor=8 dim=1,#pragma HLS array_partition variable=img_rf cyclic factor=64 dim=1,#pragma HLS array_partition variable=result_inner_col block factor=1024 dim=1,#pragma HLS array_partition variable=img_inner_col block factor=4 dim=1,#pragma HLS array_partition variable=result_inner_0 cyclic factor=512 dim=1,#pragma HLS array_partition variable=img_inner_0 cyclic factor=16 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=16,#pragma HLS pipeline II=1,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS pipeline,#pragma HLS unroll factor=8,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=16,#pragma HLS unroll factor=8,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,0.01707291,0,0,2,8
